Range [NM],Range [km],Payload [kg],Fuel [kg],Take-off Mass [kg],DOC,ASK,Engine Cost Share,Capital,Crew,Maintenance,Fuel,Payload Handling,Landing Fees,ATC Fees
970,1796.44,31220.0,2418.0452830188733,112470.04528301887,48049084.876675546,0.06003108554628822,0.188,15226246,6843652,6340171,10539386.204280753,1087379.8641412293,4429677.439843045,3582572.3684105203
980,1814.96,31220.0,2442.9735849056597,112494.97358490566,48081377.199596226,0.05978989381339272,0.188,15226246,6843652,6328626,10589013.73828417,1080590.8190393362,4450535.767217063,3562712.8750556526
990,1833.48,31220.0,2467.901886792446,112519.90188679245,48113313.18955925,0.059553574281063566,0.188,15226246,6843652,6317208,10638094.098756164,1073876.6272594545,4471164.118935872,3543072.3446077583
1000,1852.0,31220.0,2492.830188679247,112544.83018867925,48144899.796295986,0.05932198212493077,0.188,15226246,6843652,6305916,10686636.285460792,1067236.0576341497,4491566.277577582,3523647.175623465
1010,1870.52,31220.0,2517.7584905660333,112569.75849056603,48176141.79614818,0.059094975776200674,0.188,15226246,6843652,6294747,10734649.101870501,1060667.9058486514,4511745.943219509,3504433.8452095175
1020,1889.0400000000002,31220.0,2542.686792452834,112594.68679245283,48207044.796769895,0.0588724203595632,0.188,15226246,6843652,6283699,10782141.160489097,1054170.993712723,4531706.735675231,3485428.9068928408
1030,1907.5600000000002,31220.0,2567.6150943396206,112619.61509433962,48237614.24167644,0.058654186185115094,0.188,15226246,6843652,6272770,10829120.888001554,1047744.1684561071,4551452.196659239,3466628.988559544
1040,1926.0800000000002,31220.0,2592.5433962264215,112644.54339622642,48267855.41464785,0.058440148499062095,0.188,15226246,6843652,6261958,10875596.530259022,1041386.3020466398,4570985.791881924,3448030.790460266
1050,1944.6000000000001,31220.0,2617.471698113208,112669.47169811321,48297774.44399031,0.058230188454315046,0.188,15226246,6843652,6251262,10921576.15710326,1035096.290530205,4590310.913077473,3429631.0832793787
1060,1963.1200000000001,31220.0,2642.399999999994,112694.4,48327375.30666288,0.05802418926179188,0.188,15226246,6843652,6240679,10967067.667038301,1028873.053391705,4609430.8799671875,3411426.7062656893
1070,1981.64,31220.0,2667.328301886795,112719.3283018868,48356663.832272805,0.05782204081407794,0.188,15226246,6843652,6230208,11012078.791753568,1022715.5329362771,4628348.9421606045,3393414.565422359
1080,2000.16,31220.0,2692.2566037735814,112744.25660377358,48385644.70694497,0.05762363586586668,0.188,15226246,6843652,6219847,11056617.100504395,1016622.693690011,4647068.280996701,3375591.631753859
1090,2018.68,31220.0,2717.1849056603824,112769.18490566038,48414323.47707059,0.057428872244074405,0.188,15226246,6843652,6209595,11100690.004355863,1010593.5218194509,4665592.011327389,3357954.939567893
1100,2037.2,31220.0,2742.1132075471687,112794.11320754717,48442703.552938245,0.057237649103329895,0.188,15226246,6843652,6199449,11144304.760293396,1004627.0245692037,4683923.183245388,3340501.5848302618
1110,2055.7200000000003,31220.0,2767.0415094339696,112819.04150943397,48470789.21225297,0.057049870336293336,0.188,15226246,6843652,6189407,11187468.475206723,998722.2297169885,4702064.783758478,3323228.7235707724
1120,2074.2400000000002,31220.0,2791.969811320756,112843.96981132076,48498587.603546016,0.05686544673732954,0.188,15226246,6843652,6179470,11230188.109750032,992878.185045518,4720019.738412107,3306133.5703383614
1130,2092.76,31220.0,2816.8981132075423,112868.89811320754,48526099.749480695,0.05668428527372083,0.188,15226246,6843652,6169633,11272470.482084353,987093.9578305815,4737790.912862135,3289213.396703627
1140,2111.28,31220.0,2841.8264150943432,112893.82641509434,48553332.55005661,0.0565063030413318,0.188,15226246,6843652,6159897,11314322.271505117,981368.6343447805,4755381.114399563,3272465.529807144
1150,2129.8,31220.0,2866.7547169811296,112918.75471698113,48580289.78571654,0.05633141656448714,0.188,15226246,6843652,6150260,11355750.02195942,975701.3193763425,4772793.093428895,3255887.3509518807
1160,2148.32,31220.0,2891.6830188679305,112943.68301886793,48606975.12035995,0.056159545199394555,0.188,15226246,6843652,6140720,11396760.14545747,970091.1357624845,4790029.544901805,3239476.2942381883
1170,2166.84,31220.0,2916.611320754717,112968.61132075472,48633392.10426493,0.05599061101312349,0.188,15226246,6843652,6131275,11437358.925380573,964537.2239368269,4807093.109707655,3223229.845239873
1180,2185.36,31220.0,2941.5396226415032,112993.5396226415,48659546.17692351,0.05582454096323361,0.188,15226246,6843652,6121925,11477552.519690877,959038.7414903477,4823986.376022381,3207145.539719903
1190,2203.88,31220.0,2966.467924528304,113018.4679245283,48685440.66979194,0.055661262175925534,0.188,15226246,6843652,6112668,11517346.96404495,953594.8627454228,4840711.880617192,3191220.962384368
1200,2222.4,31220.0,2991.3962264150905,113043.39622641509,48711078.80895945,0.05550070416149051,0.188,15226246,6843652,6103502,11556748.174815072,948204.7783424952,4857272.110128482,3175453.7456733957
1210,2240.92,31220.0,3016.3245283018914,113068.32452830189,48736464.71773885,0.05534279985134678,0.188,15226246,6843652,6094426,11595761.952021923,942867.6948389318,4873669.5022902675,3159841.5685877223
1220,2259.44,31220.0,3041.2528301886778,113093.25283018868,48761602.41918019,0.055187484353733454,0.188,15226246,6843652,6085439,11634393.982180374,937582.8343196599,4889906.447130455,3144382.1555497064
1230,2277.96,31220.0,3066.1811320754787,113118.18113207548,48786495.83851202,0.05503469486522233,0.188,15226246,6843652,6076540,11672649.841063047,932349.4340191756,4905985.288132165,3129073.2752976315
1240,2296.48,31220.0,3091.109433962265,113143.10943396227,48811146.80551056,0.0548843683376647,0.188,15226246,6843652,6067726,11710534.996382603,927166.7459545427,4921908.323361287,3113912.739812129
1250,2315.0,31220.0,3116.0377358490514,113168.03773584905,48835561.05680139,0.05473644815892824,0.188,15226246,6843652,6058998,11748054.810397299,922034.036569004,4937677.80656142,3098898.4032736737
